Code,Company,Date,Type,Quantity,Unit Price ($),Trade Value ($),Brokerage+GST ($),GST ($),Contract Note,Total Value ($)
"PAB","PATRYS LIMITED FPO (ORDINARY FULLY PAID)",06/10/2020,"Buy","33333","0.0180","599.9900","10.0000","0.9100","107222898","609.9900"
"PAB","PATRYS LIMITED FPO (ORDINARY FULLY PAID)",16/12/2020,"Buy","111111","0.0180","2000.0000","19.9500","1.8100","110741459","2019.9500"
"PWN","PARKWAY MINLS NL FPO (ORDINARY FULLY PAID)",10/07/2020,"Buy","82857","0.0070","580.0000","10.0000","0.9100","102832262","590.0000"
"PWN","PARKWAY MINLS NL FPO (ORDINARY FULLY PAID)",30/07/2020,"Buy","103333","0.0060","620.0000","10.0000","0.9100","103704227","630.0000"
"PWN","PARKWAY MINLS NL FPO (ORDINARY FULLY PAID)",03/11/2020,"Buy","99000","0.0100","990.0000","10.0000","0.9100","108626453","1000.0000"
"PWN","PARKWAY MINLS NL FPO (ORDINARY FULLY PAID)",11/11/2020,"Buy","200000","0.0090","1800.0000","19.9500","1.8100","109066344","1819.9500"
"RAC","RACE ONCOLOGY LTD FPO (ORDINARY FULLY PAID)",24/11/2020,"Buy","1685","1.7800","2999.3000","19.9500","1.8100","109589268","3019.2500"
"RAC","RACE ONCOLOGY LTD FPO (ORDINARY FULLY PAID)",16/12/2020,"Buy","1764","1.7000","2998.8000","19.9500","1.8100","110727216","3018.7500"
"RAC","RACE ONCOLOGY LTD FPO (ORDINARY FULLY PAID)",12/03/2021,"Buy","250","3.9900","997.5000","10.0000","0.9100","115567282","1007.5000"
"RMX","RED MOUNT MIN LTD FPO (ORDINARY FULLY PAID)",16/07/2020,"Buy","90000","0.0060","540.0000","10.0000","0.9100","103070747","550.0000"
"RMX","RED MOUNT MIN LTD FPO (ORDINARY FULLY PAID)",25/09/2020,"Buy","65000","0.0080","520.0000","10.0000","0.9100","106737881","530.0000"
"RMX","RED MOUNT MIN LTD FPO (ORDINARY FULLY PAID)",02/10/2020,"Buy","85714","0.0070","600.0000","10.0000","0.9100","107118288","610.0000"
"RMX","RED MOUNT MIN LTD FPO (ORDINARY FULLY PAID)",12/11/2020,"Buy","71357","0.0140","999.0000","10.0000","0.9100","109111432","1009.0000"
"RMX","RED MOUNT MIN LTD FPO (ORDINARY FULLY PAID)",04/03/2021,"Buy","90909","0.0110","1000.0000","10.0000","0.9100","115157166","1010.0000"
"RMX","RED MOUNT MIN LTD FPO (ORDINARY FULLY PAID)",29/03/2021,"Buy","90909","0.0110","1000.0000","10.0000","0.9100","116291303","1010.0000"
"RMX","RED MOUNT MIN LTD FPO (ORDINARY FULLY PAID)",07/05/2021,"Buy","55000","0.0100","550.0000","10.0000","0.9100","118008149","560.0000"
"SER","STRATEGIC ENERGY FPO (ORDINARY FULLY PAID)",08/04/2021,"Buy","43137","0.0510","2199.9900","19.9500","1.8100","116720705","2219.9400"
"SHH","SHREE MINERALS LTD FPO (ORDINARY FULLY PAID)",29/10/2020,"Buy","241666","0.0120","2899.9900","19.9500","1.8100","108405436","2919.9400"
